Date,Stars,Comment,Category
29-10-2019,1,i have an accid with an uber driver in mexico citi . the car that i get into have no side mirror . the brake be not work properli either . i almost get into an accid twice . the driver 's convers be unpleas . be a foreign he be veri curiou to ask where i be from and what bring me to mexico . i repli to be a tourist and through that convers be over . he becom veri rude and ask me if i come to look for a mexican husband . i never answer and keep quiet . he take the wrong rout and make sever in request stop . have in mind it be uberx . he continu ask me whom i sleep with . he liter stop the car and ask me to wait for him text someon . i ask him to let me go and take a differ driver but he lock the door and do n't allow me . ,driver_issues
28-10-2019,1,i have have my account complet hack to where i can not sign in or view it . someon spend over $ 1k in uber ride on my credit and debit card link to the account and when i dial the onli number avail ( safeti line ) i be tell i would need to wait until anoth depart email me . i do n't hear anyth for almost 24 hour and when i do it be a prompt messag that do not help at all . it have be almost 2 day and i still have no receiv a phone call or ani help support via email . thi be a nightmar and the worst custom servic i have ever experi . i be go to be file a polic report to the person who myself and the driver catch fraudul use my account and look into an attorney for uber not make ident theft a prioriti and rectifi the situat on their end . ,account_issues
27-10-2019,1,i request an 8 mile ride in boston on a saturday night around 1:00 be that be come up around $ 55 on the app and lyft be around the same rate . end up take a regular cab that cost me $ 20 . bewar of high rate . ,other_issues
27-10-2019,1,"i 've be drive off and on with the compani sinc 2016 . sinc i have be drive in a new place , i notic uber be take more than 50 % of the fare . a passeng pay $ 7.52 . uber take $ 4.52 and just give me $ 3 . i have drive for 13 hour and not even pay $ 100 . major ( 99.9 % ) of my fare never hit $ 7 . where i be make over a $ 200 a day , now it 's $ 60 , $ 70 mayb $ 90 . and do n't forget to tack on a full tank of ga which be over $ 30 for my car . and the mainten upkeep that i accru more quickli becaus of rideshar . i will never drive nor think about rid for or with them again . ",other_issues
25-10-2019,1,uber be overcharg for toll fee . when in florida the toll fee estim between $ .75 to $ 2.00 . uber price show will be exampl $ 16.73 for the ride . after you take the ride you get charg 28.23 and when you check the account it 's tell you that you get charg for toll . the driver never take the toll rout and you tri to contact uber compani and they take long to get back to you about the issu of be overcharg . i tri to email them and let them know about the extra charg and whi be i be charg for a servic that i do n't receiv . ,account_issues
24-10-2019,1,"i have an airport flight today . uber would not accept my credit card , my venmo , or my paypal . as a last resort i bring an uber gift card to cover my ride to the airport . i 'll be damn the uber app would n't even accept their own gift card . my daughter download three of her card to her app to buy me a ride and sure enough they would n't accept her card either . as a last resort she bring me a ride from lift with no problem . i 'm send uber back their gift card certifi mail and demand a refund . after much stress i bare make my flight . i 'm also delet uber 's app and will never , ever use them again . laura ",other_issues
24-10-2019,1,i work for uber and lyft for 2.5 year and all they do be take take take from the driver who eat mostli foreign labor here illeg and be afraid to fight back against corpor crime . wage theft . like you would n't believ . do n't do ani gig economi job . the govern need labor regul . the state of california be set the exampl by fight them ! ,driver_issues
23-10-2019,1,"in juli of thi year i have sushi deliv to me in mexico by ubereat , a subsidiari of uber , on five occas . the total cost be 1,918 peso -- about $ 100 us . howev , i be bill $ 1,919 dollar ( ! ) on my credit card ; someth i discov at the end of the month when pay my credit card . i contact uber custom support ( uber do not provid ani number to call , so all custom servic work have to be through the via email messag ) and i be tell that , due thi be a glitch in the app and my charg would be refund . ",other_issues
23-10-2019,1,"my driver , rohan be nice , but when i tri to add tip i notic that he have switch my $ 9 9am fare in french quarter to someon els 's 2pm trip in metairi for $ 28.00 ! uber refus to acknowledg . 5 attempt to rectifi problem and receiv noth but irrelev autom repli . if you get in the car with rohan in nola and he say he ca n't get hi system to work , it 's a a scam . terribl custom servic from uber with zero relev assist after 7 day of request correct bill . bewar . ",driver_issues
21-10-2019,1,"i have seven fraudul uber transact over three day in mid-octob on my credit card . for nearli a week , i tri unsuccess to get uber custom servic to help . uber be total uncoop . they refus to engag in the fraudul charg someon in their system impos on me . i have to cancel my credit card , get a new credit card and leav my credit card compani to battl aw uber . uber buyer bewar . i know i will never use their servic again . ",other_issues
21-10-2019,1,"our driver never show up and uber cancel our ride , not us . they charg us a cancel fee for them cancel . when i disput it they would onli credit it on futur ride instead of refund back to our credit card . whi be i onli get a credit on account instead of a full refund to my credit card use ? ? thi be not right what you have do when it be a uber error . ",account_issues
